Theta,10 m/s pressure,,10 m/s step force,,,20 m/s pressure,,20 m/s step force,
,absolute,gauge,absolute,gauge,,absolute,gauge,absolute,gauge
0,101263.8824,61.11763373,1505893.745,986.9572707,,101154.3324,170.6676047,1504068.841,2803.418009
15,101254.5233,70.47666902,1402977.751,1203.653085,,101118.6531,206.3468743,1400397.011,3784.393195
30,101221.7667,103.2332925,1204305.617,1492.290835,,100985.1872,339.8128161,1200655.144,5142.763776
45,101177.4344,147.5655649,923704.4293,1536.847602,,100800.5046,524.4954334,919719.8767,5521.40018
60,101135.9591,189.0408687,580517.1401,1113.841635,,100640.1766,684.8234484,577568.4424,4062.53932
75,101125.9597,199.040259,198005.0886,378.4077505,,100594.3665,730.6334633,196989.3369,1394.159481
90,101137.4943,187.5056585,-198017.6261,-365.8702846,,100631.4907,693.50929,-197037.9357,-1345.560727
105,101138.7668,186.2331581,-580559.836,-1071.145816,,100644.0105,680.9895279,-577715.4508,-3915.530923
120,101138.028,186.9720293,-923539.9538,-1701.323112,,100641.7528,683.2471899,-918928.0425,-6313.234423
135,101139.3415,185.6584805,-1203561.063,-2236.844676,,100625.4976,699.5023564,-1197453.592,-8344.315985
150,101134.7277,190.2723207,-1401567.726,-2613.678074,,100622.1317,702.8683253,-1394454.288,-9727.116765
165,101138.069,186.9309809,-1504054.739,-2817.519597,,100624.0609,700.9390504,-1496371.266,-10500.99301
180,101133.0201,191.9799341,,,,100613.725,711.2750377,,
,,,4102.826939,-4094.383383,,,,17438.07787,-17438.07787
,N Force:,,0.414695316,-0.413841879,,,,1.762562573,-1.762562573
