setpoint,flowrate,pressure,reynolds,velocity,expected_friction,actual_friction,uncert_presure,uncert_flowrate,uncertainty,inside uncertainty range
0.1,0.08,0.08,479.552689,0.036001592,0.133457702,0.203172629,0.01127569,-88947.30389,0.031363815,no
0.15,0.16,0.14,959.105378,0.072003185,0.066728851,0.0765599,0.002818923,-19457.22273,0.00706973,no
0.2,0.21,0.2,1258.825809,0.09450418,0.050841029,0.059748384,0.001636381,-12293.76406,0.004379556,no
0.25,0.25,0.32,1498.602153,0.112504977,0.042706465,0.070279909,0.001154631,-11658.50102,0.00394586,no
0.3,0.31,0.42,1858.26667,0.139506171,0.034440697,0.056782608,0.00075093,-8025.590039,0.002696698,no
0.35,0.34,0.49,2038.098928,0.153006768,0.031401812,0.054411191,0.00062426,-7096.955653,0.002367815,no
0.4,0.38,0.6,2277.875273,0.171007564,0.028096358,0.05290526,0.000499754,-6224.625436,0.002057865,no
0.45,0.45,0.8,2697.483876,0.202508958,,0.049222666,0.000356367,-4997.642753,0.001636069,no
0.5,0.5,1.05,2997.204306,0.225009953,,0.053713337,0.000288658,-4781.807057,0.001548883,no
0.55,0.55,1.15,3296.924737,0.247510948,,0.046540243,0.00023856,-3934.798838,0.001274829,no
0.6,0.6,1.3,3596.645168,0.270011944,,0.04310913,0.000200457,-3426.118372,0.001107934,no
0.65,0.66,1.6,3956.309684,0.297013138,0.040809518,0.044225275,0.000165667,-3168.115006,0.001019215,no
0.7,0.7,1.8,4196.086029,0.315013934,0.040068382,0.044232024,0.000147274,-2987.384667,0.000958864,no
0.75,0.75,2.02,4495.80646,0.337514929,0.039225265,0.042748987,0.000128292,-2725.714358,0.000873448,no
0.8,0.8,2.23,4795.52689,0.360015925,0.038460907,0.040826974,0.000112757,-2479.406096,0.000793629,no
0.85,0.85,2.52,5095.247321,0.38251692,0.037763496,0.040890256,9.98815E-05,-2335.912261,0.00074633,no
0.9,0.89,2.9,5335.023665,0.400517716,0.03724735,0.044010257,9.11052E-05,-2341.751141,0.000746391,no
0.95,0.96,3.2,5754.632268,0.43201911,0.036420848,0.040608138,7.83034E-05,-2058.965368,0.000655918,no
1,0.99,3.4,5934.464527,0.445519707,0.036092974,0.040550723,7.36296E-05,-1994.739078,0.000635048,no
1.1,1.05,4,6294.129043,0.472520901,0.035478555,0.043415374,6.54553E-05,-1967.00225,0.000624984,no
1.2,1.2,4.7,7193.290335,0.540023887,0.0341427,0.036856649,5.01142E-05,-1548.341957,0.000491734,no
1.3,1.3,5.5,7792.731196,0.585025878,0.033378916,0.036686464,4.27008E-05,-1425.100181,0.000452069,no
1.4,1.4,6.3,8392.172058,0.630027868,0.032695166,0.035963438,3.68186E-05,-1306.980792,0.000414263,no
1.5,1.5,7.15,8991.612919,0.675029859,0.032078023,0.035306034,3.20731E-05,-1205.993667,0.000381998,no
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
